MP Mine (FID: 14),79.6813670003,21.5029500004,Sausar Belt,1000000.0,"Mn (Manganese) (Wt%): 19.19% to 37.88%, P (Phosphorous) (Wt%):0.29%",Banded Chert Jasper band interbanded with light grey/cream coloured Cherty Limestone,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 15),79.747889323,21.7142547975,Sausar Belt,,,Gondites-Quartzite,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 16),79.733333,21.6833330002,Sausar Belt,799700.0,Mn (Manganese) (Wt%):+48%,Gondites-Quartzite,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 17),79.7756,21.5464500004,Sausar Belt,440000.0,"Mn (Manganese) (Wt%):34%-38%, P (Phosphorous) (Wt%):0.25%",Mica schists and Quartz schists,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 18),79.7666669996,21.4500000003,Sausar Belt,5640.0,Mn (Manganese) (Wt%): 42%-48%,Gondites,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 19),79.9795829997,21.8804000002,Sausar Belt,136000.0,Mn (Manganese): 11.7% to 35%,Biotite-muscovite schist,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 20),79.9614169998,21.8692669999,Sausar Belt,130000.0,Mn (Manganese) (Wt%): 35% to 54%,Muscovite Biotite schist,,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 21),79.9604901745,21.5399954904,Tirodi Gneissic Complex,1950000.0,Mn (Manganese) (Wt%): +40%,Schist,,Archaean,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 22),80.1666670001,21.8166669996,Sausar Belt,6210000.0,Mn (Manganese) (Wt%):+48%,"Phyllite, Quartzite",,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 23),80.2333330003,21.9999999997,Sausar Belt,1600000.0,Mn (Manganese) (Wt%):35%-46%,"Schist, Phyllite",,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 24),80.3666670001,21.8333330004,Tirodi Gneissic Complex,437000.0,Mn (Manganese) (Wt%): 50.36%,Schist,,Archaean,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 25),80.3833333332,21.9416666665,Sausar Belt,2600000.0,,"Marbles, Calciphyres and Calc Granulite",,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 26),80.4806999996,21.9238329999,Tirodi Gneissic Complex,1380000.0,Mn (Manganese) (Wt%):38%,Muscovite schist,,Archaean,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 27),80.4166670001,21.9333329998,Sausar Belt,1930000.0,Mn (Manganese): 35% and P (Phosphorus): 0.3%,"Muscovite schist, Muscovite Biotite schist, Sericite schist, Phyllites",,Palaeoproterozoic,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 28),80.4387669996,21.9533330003,Tirodi Gneissic Complex,2080000.0,Mn (Manganese) (Wt%): 30% to 38%,"Marbles, Calciphyres and Calc Granulite",,Archaean,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 29),80.4658499999,21.9737169997,Tirodi Gneissic Complex,14610000.0,"Mn (Manganese) (Wt%):41.23%, P (Phosphorous) (Wt%):0.23%","Marbles, Calciphyres and Calc Granulite",,Archaean,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
MP Mine (FID: 30),80.4666669995,21.9666670004,Tirodi Gneissic Complex,12500000.0,Mn (Manganese) (Wt%): 38.51%-43.12%,Schist and Phyllite,,Archaean,Madhya Pradesh (India) Dataset,150m to 400m (MOIL underground depth profile),1 to 15 meters,Consistent with surface reserve (35-50% Mn),"Gondite, Calc-granulite, and Quartz-mica Schist"
